pid	mediaId	current_alt	image_url	category
L01210	gid://shopify/MediaImage/37348514300119	Left Chest Print	https://cdn.shopify.com/s/files/1/0812/8518/5751/files/l01210-1-1_ce7c494a-77bc-4be7-a6d6-54b4aef13242.png?v=1776776724	DECORATION-ZONE
L01210	gid://shopify/MediaImage/37348514332887	Left Chest Print	https://cdn.shopify.com/s/files/1/0812/8518/5751/files/l01210-2-3_a360be9f-d797-447c-9036-1415a9a547e9.png?v=1776776724	DECORATION-ZONE
L01210	gid://shopify/MediaImage/37348514365655	Back Print	https://cdn.shopify.com/s/files/1/0812/8518/5751/files/l01210-3-2_34c321e4-c859-40c1-a3e6-95e8a5c6a1ba.png?v=1776776724	DECORATION-ZONE
L01210	gid://shopify/MediaImage/37348514398423	Back Print	https://cdn.shopify.com/s/files/1/0812/8518/5751/files/l01210-4-4_b408ba14-7f81-4555-8d94-b7ed57f57406.png?v=1776776724	DECORATION-ZONE
L01250	gid://shopify/MediaImage/37348513382615	Back Print	https://cdn.shopify.com/s/files/1/0812/8518/5751/files/l01250-2-2_703be1b7-751a-4b35-8f69-e5ae3d25aeb3.png?v=1776776716	DECORATION-ZONE
L01250	gid://shopify/MediaImage/37348513415383	Left Chest Print	https://cdn.shopify.com/s/files/1/0812/8518/5751/files/l01250-3-1_5d58c898-6d42-40f5-ae98-b2515877b527.png?v=1776776715	DECORATION-ZONE
L01250	gid://shopify/MediaImage/37348513448151	Left Chest Print	https://cdn.shopify.com/s/files/1/0812/8518/5751/files/l01250-4-5_ae0b70e0-e5dd-4937-b60c-55920529e00f.png?v=1776776715	DECORATION-ZONE
L01250	gid://shopify/MediaImage/37348513480919	Back Print	https://cdn.shopify.com/s/files/1/0812/8518/5751/files/l01250-5-6.png?v=1776776715	DECORATION-ZONE
L01250	gid://shopify/MediaImage/37348513513687	Left Chest Print	https://cdn.shopify.com/s/files/1/0812/8518/5751/files/l01250-6-7_eaad1454-45a5-4c9e-95cb-1f555393ccd7.png?v=1776776715	DECORATION-ZONE
L01250	gid://shopify/MediaImage/37348513546455	Back Print	https://cdn.shopify.com/s/files/1/0812/8518/5751/files/l01250-7-8.png?v=1776776715	DECORATION-ZONE
L01250	gid://shopify/MediaImage/37348513579223	Left Chest Print	https://cdn.shopify.com/s/files/1/0812/8518/5751/files/l01250-8-3_fc85a501-b302-4b70-a958-39fdd435cdac.png?v=1776776715	DECORATION-ZONE
L01250	gid://shopify/MediaImage/37348513611991	Back Print	https://cdn.shopify.com/s/files/1/0812/8518/5751/files/l01250-9-4_91027e4a-b1c6-4d08-9e23-93f9f4da7d96.png?v=1776776715	DECORATION-ZONE
L01250	gid://shopify/MediaImage/37348513349847	(empty)	https://cdn.shopify.com/s/files/1/0812/8518/5751/files/l01250-1-Untitled_design.png?v=1776776715	EMPTY
