pid	filename	suggested_action	reason
A702	Screenshot 2026-04-24 103950.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00693	L00692-L00693_SIZE_CHART_-08-22-23.pdf	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00871	L00870-L00871_SIZE_CHART_-08-23-23.pdf	MOVE-TO-L00870	Filename pid signature matches BR pid L00870
LCB12	33604_f_fl.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
LCB12	29517_f_fl.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S07200	L07200-L07201-L7200Y_SIZE_CHART_-08-23-23.pdf	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S07200	L07200_CSW-NV_BV_df437b5d-f87e-4777-bac3-a7865b23686e_2000x.webp	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S07200	L07200_CSW-NV_527d26ed-81e5-439e-8b67-9dd539f036a4_2000x.webp	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S07200	L07200_B-B_e0643dd4-ba55-4b9e-b3d5-76618b8aaf10_2000x.webp	TRASH-ORPHAN	No pid signature, no recognized brand prefix
1010	BELLA_+_CANVAS_1010_Solid_Pink_Blend_Back_High.jpg	KEEP-WHITELIST-BELLA_+_CANVAS	Branded prefix "BELLA_+_CANVAS_" with embedded pid 1010 matches parent — propose adding to KNOWN_SUPPLIER_PREFIXES['1010']
1010	BELLA_+_CANVAS_1010_Solid_Baby_Blue_Blend_Front_High.jpg	KEEP-WHITELIST-BELLA_+_CANVAS	Branded prefix "BELLA_+_CANVAS_" with embedded pid 1010 matches parent — propose adding to KNOWN_SUPPLIER_PREFIXES['1010']
1010	BELLA_+_CANVAS_1010_Solid_Black_Blend_DirectSide_High.jpg	KEEP-WHITELIST-BELLA_+_CANVAS	Branded prefix "BELLA_+_CANVAS_" with embedded pid 1010 matches parent — propose adding to KNOWN_SUPPLIER_PREFIXES['1010']
1010	BELLA_+_CANVAS_1010_Solid_Natural_Blend_DirectSide_High.jpg	KEEP-WHITELIST-BELLA_+_CANVAS	Branded prefix "BELLA_+_CANVAS_" with embedded pid 1010 matches parent — propose adding to KNOWN_SUPPLIER_PREFIXES['1010']
1010	BELLA_+_CANVAS_1010_Solid_Black_Blend_Front_High.jpg	KEEP-WHITELIST-BELLA_+_CANVAS	Branded prefix "BELLA_+_CANVAS_" with embedded pid 1010 matches parent — propose adding to KNOWN_SUPPLIER_PREFIXES['1010']
