pid	color	check	severity	drive	store	detail
A702		CROSS-POLLUTION	high	1	-	Drive file "Screenshot 2026-04-24 103950.png" doesn't match pid prefix
L00693		CROSS-POLLUTION	high	1	-	Drive file "L00692-L00693_SIZE_CHART_-08-22-23.pdf" doesn't match pid prefix
L00871		CROSS-POLLUTION	high	1	-	Drive file "L00870-L00871_SIZE_CHART_-08-23-23.pdf" doesn't match pid prefix
LCB12		CROSS-POLLUTION	high	1	-	Drive file "33604_f_fl.jpg" doesn't match pid prefix
LCB12		CROSS-POLLUTION	high	1	-	Drive file "29517_f_fl.jpg" doesn't match pid prefix
S07200		CROSS-POLLUTION	high	1	-	Drive file "L07200-L07201-L7200Y_SIZE_CHART_-08-23-23.pdf" doesn't match pid prefix
S07200		CROSS-POLLUTION	high	1	-	Drive file "L07200_CSW-NV_BV_df437b5d-f87e-4777-bac3-a7865b23686e_2000x.webp" doesn't match pid prefix
S07200		CROSS-POLLUTION	high	1	-	Drive file "L07200_CSW-NV_527d26ed-81e5-439e-8b67-9dd539f036a4_2000x.webp" doesn't match pid prefix
S07200		CROSS-POLLUTION	high	1	-	Drive file "L07200_B-B_e0643dd4-ba55-4b9e-b3d5-76618b8aaf10_2000x.webp" doesn't match pid prefix
1010		CROSS-POLLUTION	high	1	-	Drive file "BELLA_+_CANVAS_1010_Solid_Pink_Blend_Back_High.jpg" doesn't match pid prefix
1010		CROSS-POLLUTION	high	1	-	Drive file "BELLA_+_CANVAS_1010_Solid_Baby_Blue_Blend_Front_High.jpg" doesn't match pid prefix
1010		CROSS-POLLUTION	high	1	-	Drive file "BELLA_+_CANVAS_1010_Solid_Black_Blend_DirectSide_High.jpg" doesn't match pid prefix
1010		CROSS-POLLUTION	high	1	-	Drive file "BELLA_+_CANVAS_1010_Solid_Natural_Blend_DirectSide_High.jpg" doesn't match pid prefix
1010		CROSS-POLLUTION	high	1	-	Drive file "BELLA_+_CANVAS_1010_Solid_Black_Blend_Front_High.jpg" doesn't match pid prefix
